RN;SAT;Regiao;Estado;Latitude;Longitude
3068S;91821;SUDESTE;RIO DE JANEIRO;-22,9666781;-44,044784
3073D;91970;SUDESTE;RIO DE JANEIRO;-22,7744833;-41,9305506
3086H;91888;SUDESTE;RIO DE JANEIRO;-22,3695553;-41,7845022
3088S;91783;SUDESTE;RIO DE JANEIRO;-22,9784683;-42,0202613
3091B;93967;SUDESTE;RIO DE JANEIRO;-22,7715162;-42,9285341
3099C;93915;SUDESTE;RIO DE JANEIRO;-22,8465713;-43,2364323
3100T;93916;SUDESTE;RIO DE JANEIRO;-22,8236794;-43,2315361
3121A;91720;SUDESTE;RIO DE JANEIRO;-22,8178444;-43,3062766
4001L;91956;SUDESTE;RIO DE JANEIRO;-21,6534772;-41,7407452
4003P;91960;SUDESTE;RIO DE JANEIRO;-21,4773589;-41,1138355
4010B;93966;SUDESTE;RIO DE JANEIRO;-21,2003954;-41,7159273
9022D;93519;SUDESTE;RIO DE JANEIRO;-22,3891153;-41,7706803
9022E;93690;SUDESTE;RIO DE JANEIRO;-22,3868436;-41,7693948
2388G;91617;SUDESTE;SAO PAULO;-20,2524603;-50,1835142
2810C;91711;SUDESTE;SAO PAULO;-22,6754365;-45,0007562
2875N;91839;SUDESTE;SAO PAULO;-22,9381794;-48,3927779
2875R;91840;SUDESTE;SAO PAULO;-22,9355632;-48,3593177
2914G;91844;SUDESTE;SAO PAULO;-21,9392862;-48,801115
2914R;91843;SUDESTE;SAO PAULO;-21,8069298;-48,8385048
2964J;93681;SUDESTE;SAO PAULO;-21,1854098;-49,583083
2965J;93682;SUDESTE;SAO PAULO;-21,0313645;-49,6469204
2988C;91615;SUDESTE;SAO PAULO;-20,7846568;-49,3581848
2988H;91668;SUDESTE;SAO PAULO;-20,2613998;-47,3674521
2988Z;91689;SUDESTE;SAO PAULO;-20,2417955;-47,3102734
2989B;91690;SUDESTE;SAO PAULO;-20,2445144;-47,2713686
2991T;91634;SUDESTE;SAO PAULO;-23,2127667;-45,859698
2992B;91638;SUDESTE;SAO PAULO;-23,2193792;-45,872147
2992C;91637;SUDESTE;SAO PAULO;-23,225769;-45,8631306
2992D;91636;SUDESTE;SAO PAULO;-23,234386;-45,8537701
2992E;91635;SUDESTE;SAO PAULO;-23,2225809;-45,8654884
3007P;91612;SUDESTE;SAO PAULO;-20,5819065;-47,3809555
3007T;91607;SUDESTE;SAO PAULO;-23,5508467;-46,7315776
3018P;91608;SUDESTE;SAO PAULO;-23,4114418;-45,593643
3018V;91725;SUDESTE;SAO PAULO;-22,6799845;-44,9911428
3018X;91727;SUDESTE;SAO PAULO;-22,6872269;-44,9851633
3018Z;91728;SUDESTE;SAO PAULO;-22,6867011;-44,9847929
3020B;91682;SUDESTE;SAO PAULO;-22,6869607;-44,9842878
3020D;91726;SUDESTE;SAO PAULO;-22,6916829;-44,9908086
3020L;91685;SUDESTE;SAO PAULO;-22,8047918;-48,4274363
3020M;91616;SUDESTE;SAO PAULO;-21,7549189;-48,9927658
3020R;91613;SUDESTE;SAO PAULO;-21,2351641;-48,2863848
3021N;91684;SUDESTE;SAO PAULO;-24,4421562;-47,7829551
3023E;91683;SUDESTE;SAO PAULO;-23,5293356;-48,0098634
3035R;91355;SUDESTE;SAO PAULO;-20,2623761;-48,674872
3038T;91787;SUDESTE;SAO PAULO;-20,0356026;-48,2229336
3041S;91845;SUDESTE;SAO PAULO;-20,2719653;-47,4553697
3041U;91833;SUDESTE;SAO PAULO;-20,2716257;-47,4545204
3056A;91554;SUDESTE;SAO PAULO;-22,9044714;-50,0019012
3092T;91716;SUDESTE;SAO PAULO;-25,0202393;-47,9249685
3108U;92578;SUDESTE;SAO PAULO;-22,1281713;-51,4281761
3111T;91550;SUDESTE;SAO PAULO;-21,9505266;-50,9414528
3112M;96157;SUDESTE;SAO PAULO;-21,7916176;-50,7968389
3113A;91584;SUDESTE;SAO PAULO;-21,7134889;-50,7275925
3113T;91719;SUDESTE;SAO PAULO;-21,5963944;-50,6014286
3114D;91971;SUDESTE;SAO PAULO;-21,5250232;-50,5516378
3114S;91972;SUDESTE;SAO PAULO;-21,3975656;-50,4833494
3115F;91973;SUDESTE;SAO PAULO;-21,3387062;-50,3999974
3115T;91974;SUDESTE;SAO PAULO;-21,2203796;-50,302928
3116H;91975;SUDESTE;SAO PAULO;-21,0569952;-50,200953
3124A;91507;SUDESTE;SAO PAULO;-23,2134842;-45,8605913
3124B;96110;SUDESTE;SAO PAULO;-23,2134535;-45,8608179
3125R;96158;SUDESTE;SAO PAULO;-21,8583693;-50,6893384
3307V;91610;SUDESTE;SAO PAULO;-21,6251631;-47,0180133
3322T;92856;SUDESTE;SAO PAULO;-21,4375693;-47,0096851
4037Z;93901;SUDESTE;SAO PAULO;-21,2410525;-48,2866494
4038N;91351;SUDESTE;SAO PAULO;-21,0858124;-48,4033954
4039B;91352;SUDESTE;SAO PAULO;-20,9328399;-48,4721842
4039S;91353;SUDESTE;SAO PAULO;-20,7212416;-48,5363156
4040F;91879;SUDESTE;SAO PAULO;-20,5831466;-48,5974632
9501C;90764;SUDESTE;SAO PAULO;-23,5665728;-46,7325846
9502B;91785;SUDESTE;SAO PAULO;-20,0210633;-47,4357342
1581T;96149;SUL;PARANA;-23,7893704;-53,0603096
1587X;93999;SUL;PARANA;-23,2464698;-50,7269278
1594D;96148;SUL;PARANA;-23,7223914;-52,180014
1597H;93961;SUL;PARANA;-24,0153659;-51,0917001
1720M;96151;SUL;PARANA;-24,3755293;-53,8350235
1726F;96153;SUL;PARANA;-25,7498442;-53,0535789
1728D;96154;SUL;PARANA;-26,2665338;-52,7826059
1731M;96152;SUL;PARANA;-25,1499081;-53,843908
1735D;96155;SUL;PARANA;-25,4258255;-52,0179864
1741B;96156;SUL;PARANA;-25,6969978;-51,6599773
1743H;91743;SUL;PARANA;-24,7530239;-51,7761673
2018P;92700;SUL;PARANA;-24,724937;-49,98637
2021V;96147;SUL;PARANA;-24,5665493;-51,3375284
2028D;94050;SUL;PARANA;-23,8749019;-53,8909314
2985A;91582;SUL;PARANA;-25,5791022;-54,5591294
3105U;91795;SUL;PARANA;-22,6963865;-51,7919334
3279F;91105;SUL;PARANA;-25,4483686;-49,2309548
3279N;91123;SUL;PARANA;-25,452259;-49,235936
3279R;91124;SUL;PARANA;-25,454087;-49,236771
3279U;91103;SUL;PARANA;-25,4555288;-49,2374304
1413L;93972;SUL;RIO GRANDE DO SUL;-28,056344;-51,12976
1780U;94047;SUL;RIO GRANDE DO SUL;-29,7781008;-50,1743609
1790D;94039;SUL;RIO GRANDE DO SUL;-30,1565119;-52,1174593
1791C;94044;SUL;RIO GRANDE DO SUL;-29,7002478;-52,8594946
1792H;91947;SUL;RIO GRANDE DO SUL;-29,7108457;-53,7168047
1792L;91946;SUL;RIO GRANDE DO SUL;-29,6953655;-53,7750871
1795M;94040;SUL;RIO GRANDE DO SUL;-30,2422288;-52,7474274
1907L;93976;SUL;RIO GRANDE DO SUL;-29,172031;-52,205892
1916J;93816;SUL;RIO GRANDE DO SUL;-28,3783195;-54,2837667
1919R;93975;SUL;RIO GRANDE DO SUL;-28,6356413;-53,6138781
1930H;91945;SUL;RIO GRANDE DO SUL;-29,6663734;-54,6727409
1937B;91943;SUL;RIO GRANDE DO SUL;-30,2415909;-54,9508784
1938J;91936;SUL;RIO GRANDE DO SUL;-29,8343847;-55,6858042
1941N;91938;SUL;RIO GRANDE DO SUL;-30,858244;-55,502014
1943J;91940;SUL;RIO GRANDE DO SUL;-30,1779068;-56,0547411
1946V;91939;SUL;RIO GRANDE DO SUL;-30,3812448;-56,397078
1951R;94043;SUL;RIO GRANDE DO SUL;-30,943873;-54,109751
1965U;94038;SUL;RIO GRANDE DO SUL;-31,3907267;-52,6774992
1966Z;94042;SUL;RIO GRANDE DO SUL;-31,6957181;-52,4239901
1977L;91950;SUL;RIO GRANDE DO SUL;-32,249116;-53,553677
3093H;91850;SUL;RIO GRANDE DO SUL;-30,074042;-51,119765
3093J;91899;SUL;RIO GRANDE DO SUL;-30,0731809;-51,1197747
1401R;94030;SUL;SANTA CATARINA;-27,0604718;-49,4120238
1433D;93978;SUL;SANTA CATARINA;-27,0723973;-52,6266937
1710F;93981;SUL;SANTA CATARINA;-26,5000536;-53,5060341
1750Z;93982;SUL;SANTA CATARINA;-26,724955;-51,632252
1778L;96166;SUL;SANTA CATARINA;-28,8213621;-49,3993709
1779B;94032;SUL;SANTA CATARINA;-29,0791983;-49,6292029
2006J;96168;SUL;SANTA CATARINA;-27,492642;-48,5038314
2011U;94028;SUL;SANTA CATARINA;-26,313999;-49,909934
2011X;93983;SUL;SANTA CATARINA;-26,27023;-49,919078
2014D;93984;SUL;SANTA CATARINA;-26,913299;-50,444574
2059L;94034;SUL;SANTA CATARINA;-27,9561268;-50,4844354
2061N;94033;SUL;SANTA CATARINA;-27,822888;-49,57
2062U;94031;SUL;SANTA CATARINA;-27,659944;-49,125633
2064P;94027;SUL;SANTA CATARINA;-26,176649;-49,007653
3012E;96169;SUL;SANTA CATARINA;-26,7819468;-48,6685682
3012U;91662;SUL;SANTA CATARINA;-28,2300649;-48,6543281
3087J;91854;SUL;SANTA CATARINA;-28,2366133;-48,6560785
9302T;91558;SUL;SANTA CATARINA;-28,2380556;-48,6594444
